timestamps,,,,,Marker
1496178844.865,854.840,180.516,1249.525,799.314,0
1496178844.865,265.380,19.206,930.193,905.525,0
1496178844.865,-44.797,-261.649,421.133,281.325,0
1496178844.866,535.690,-105.215,749.962,173.066,0
1496178844.866,855.711,176.626,1254.286,796.580,0
1496178844.867,257.548,17.976,921.524,900.768,0
1496178844.867,-45.305,-259.962,434.848,283.535,0
1496178844.867,540.952,-112.822,750.269,172.677,0
1496178844.867,852.207,174.449,1249.087,799.793,0
1496178844.869,256.879,6.805,919.299,903.139,0
1496178844.869,-52.329,-261.615,421.036,282.024,0
1496178844.895,531.516,-107.619,742.374,160.732,0
1496178844.895,872.276,191.410,1243.904,782.671,0
1496178844.895,283.780,35.643,923.679,898.853,0
1496178844.895,-48.772,-259.581,421.107,284.664,0
1496178844.897,525.963,-112.066,737.306,164.303,0
1496178844.897,873.745,191.036,1239.992,778.513,0
1496178844.925,304.267,47.547,916.382,892.596,0
1496178844.925,-50.208,-258.687,430.461,290.338,0
1496178844.925,502.046,-126.476,747.864,176.978,0
1496178844.925,841.335,171.319,1223.162,768.407,0
1496178844.927,324.552,65.962,913.603,886.523,0
1496178844.927,-13.767,-241.775,431.856,289.590,0
1496178844.955,492.801,-132.995,756.159,172.366,0
1496178844.955,840.946,178.986,1228.637,775.476,0
1496178844.955,319.530,63.603,910.555,886.930,0
1496178844.955,-18.284,-239.404,432.779,297.380,0
1496178844.957,499.219,-125.103,749.237,176.477,0
1496178844.957,841.721,169.999,1226.551,770.591,0
1496178844.985,328.539,63.460,912.201,885.988,0
1496178844.985,-24.178,-234.920,431.642,293.558,0
1496178844.985,487.958,-129.763,745.186,175.758,0
1496178844.985,848.961,176.525,1227.684,770.741,0
1496178844.987,321.392,62.993,913.547,884.021,0
1496178844.987,-25.772,-241.330,435.427,295.536,0
1496178845.015,487.199,-136.342,742.505,172.553,0
1496178845.015,842.042,174.109,1231.244,770.109,0
1496178845.015,323.026,59.717,919.067,883.523,0
1496178845.015,-29.033,-248.514,426.904,292.802,0
1496178845.017,478.634,-138.552,745.470,172.998,0
1496178845.017,842.700,172.108,1228.858,765.913,0
1496178845.195,323.154,63.079,913.618,888.228,0
1496178845.195,-30.334,-248.574,441.871,299.841,0
1496178845.195,487.913,-132.280,746.559,174.633,0
1496178845.195,842.068,174.816,1226.371,766.425,0
1496178845.196,319.705,55.281,909.493,880.266,0
1496178845.196,-29.209,-248.088,428.591,297.268,0
1496178845.197,482.980,-135.470,748.492,175.889,0
1496178845.197,848.303,175.740,1231.809,765.969,0
1496178845.197,325.076,61.923,916.180,884.024,0
1496178845.197,-32.593,-249.842,435.898,298.225,0
1496178845.199,476.020,-145.568,740.609,170.070,0
1496178845.199,853.150,178.627,1227.437,768.714,0
1496178845.225,1238.612,507.654,1717.261,1367.717,0
1496178845.225,727.891,401.329,1416.547,1496.917,0
1496178845.225,347.113,77.195,928.247,905.344,0
1496178845.225,859.395,183.807,1238.698,784.609,0
1496178845.227,1249.596,512.692,1721.816,1368.828,0
1496178845.227,725.344,404.395,1418.334,1501.465,0
1496178845.255,347.109,73.904,924.668,905.879,0
1496178845.255,856.942,182.625,1225.668,776.074,0
1496178845.255,1252.023,514.416,1723.499,1370.933,0
1496178845.255,729.525,404.837,1417.916,1499.632,0
